Territoire;Territoire (English);UE;EEE;AELE;Zone_Euro;Espace_Schengen;Conseil_Europe;Union_douaniere;Marche_commun
Açores;Azores;Oui;Oui;Non;Oui;Oui;Non;Oui;Oui
Albanie;Albania;Non;Non;Non;Non;Non;Oui;Non;Non
Allemagne;Germany;Oui;Oui;Non;Oui;Oui;Oui;Oui;Oui
Andorre;Andorra;Non;Non;Non;Oui;Non;Oui;Oui;Non
Anguilla;Anguilla;Non;Non;Non;Non;Non;Non;Non;Non
Arménie;Armenia;Non;Non;Non;Non;Non;Oui;Non;Non
Autriche;Austria;Oui;Oui;Non;Oui;Oui;Oui;Oui;Oui
Azerbaïdjan;Azerbaijan;Non;Non;Non;Non;Non;Oui;Non;Non
Belgique;Belgium;Oui;Oui;Non;Oui;Oui;Oui;Oui;Oui
Bermudes;Bermuda;Non;Non;Non;Non;Non;Non;Non;Non
Bosnie-Herzégovine;Bosnia and Herzegovina;Non;Non;Non;Non;Non;Oui;Non;Non
Bulgarie;Bulgaria;Oui;Oui;Non;Non;Oui;Oui;Oui;Oui
Chypre;Cyprus;Oui;Oui;Non;Oui;Non;Oui;Oui;Oui
Croatie;Croatia;Oui;Oui;Non;Oui;Oui;Oui;Oui;Oui
Danemark;Denmark;Oui;Oui;Non;Non;Oui;Oui;Oui;Oui
Espagne;Spain;Oui;Oui;Non;Oui;Oui;Oui;Oui;Oui
Estonie;Estonia;Oui;Oui;Non;Oui;Oui;Oui;Oui;Oui
Finlande;Finland;Oui;Oui;Non;Oui;Oui;Oui;Oui;Oui
France;France;Oui;Oui;Non;Oui;Oui;Oui;Oui;Oui
Géorgie;Georgia;Non;Non;Non;Non;Non;Oui;Non;Non
Géorgie du Sud et les Îles Sandwich du Sud;South Georgia and the South Sandwich Islands;Non;Non;Non;Non;Non;Non;Non;Non
Gibraltar;Gibraltar;Non;Non;Non;Non;Non;Non;Non;Non
Grèce;Greece;Oui;Oui;Non;Oui;Oui;Oui;Oui;Oui
Guadeloupe;Guadeloupe;Oui;Oui;Non;Oui;Non;Non;Oui;Oui
Guyane;French Guiana;Oui;Oui;Non;Oui;Non;Non;Oui;Oui
Hongrie;Hungary;Oui;Oui;Non;Non;Oui;Oui;Oui;Oui
Îles Caïmans;Cayman Islands;Non;Non;Non;Non;Non;Non;Non;Non
Îles Canaries;Canary Islands;Oui;Oui;Non;Oui;Oui;Non;Oui;Oui
Îles Malouines;Falkland Islands;Non;Non;Non;Non;Non;Non;Non;Non
Îles Pitcairn;Pitcairn Islands;Non;Non;Non;Non;Non;Non;Non;Non
Îles Turques-et-Caïques;Turks and Caicos Islands;Non;Non;Non;Non;Non;Non;Non;Non
Îles Vierges britanniques;British Virgin Islands;Non;Non;Non;Non;Non;Non;Non;Non
Irlande;Ireland;Oui;Oui;Non;Oui;Non;Oui;Oui;Oui
Islande;Iceland;Non;Oui;Oui;Non;Oui;Oui;Non;Oui
Italie;Italy;Oui;Oui;Non;Oui;Oui;Oui;Oui;Oui
Kosovo;Kosovo;Non;Non;Non;Oui;Non;Non;Non;Non
La Réunion;Reunion;Oui;Oui;Non;Oui;Non;Non;Oui;Oui
Lettonie;Latvia;Oui;Oui;Non;Oui;Oui;Oui;Oui;Oui
Liechtenstein;Liechtenstein;Non;Oui;Oui;Non;Oui;Oui;Non;Oui
Lituanie;Lithuania;Oui;Oui;Non;Oui;Oui;Oui;Oui;Oui
